Start Training...
========== Hyperparameters ==========
Batch size: 256
Epochs: 20
Optimizer: adam
Learning Rate: 0.001
Number of Parameters: 295770
Number of Trainable Parameters: 295770
=====================================
>>>>> EPOCH 0: validation loss: 2.39, validation accuracy: 9.19%, validation f1: 0.0311 <<<<<
EPOCH 1/20
(192.01s) [11520/40000] loss: 1.0586, acc: 61.3281%, f1: 0.5857
(192.8s) [11776/40000] loss: 1.2385, acc: 57.0312%, f1: 0.5643
(193.6s) [12032/40000] loss: 1.1608, acc: 55.8594%, f1: 0.5501
(194.39s) [12288/40000] loss: 1.1177, acc: 61.3281%, f1: 0.5951
(195.18s) [12544/40000] loss: 1.2341, acc: 58.5938%, f1: 0.564
(195.99s) [12800/40000] loss: 1.0219, acc: 62.1094%, f1: 0.6037
(196.8s) [13056/40000] loss: 1.1001, acc: 61.7188%, f1: 0.603
(197.59s) [13312/40000] loss: 1.1042, acc: 60.5469%, f1: 0.5989
(198.39s) [13568/40000] loss: 1.1672, acc: 56.6406%, f1: 0.5694
(199.21s) [13824/40000] loss: 1.1519, acc: 57.8125%, f1: 0.5709
(200.0s) [14080/40000] loss: 1.2114, acc: 55.0781%, f1: 0.5399
(200.79s) [14336/40000] loss: 1.1628, acc: 60.1562%, f1: 0.6056
(201.6s) [14592/40000] loss: 0.9784, acc: 66.0156%, f1: 0.6496
(202.42s) [14848/40000] loss: 1.0898, acc: 63.2812%, f1: 0.6272
(203.24s) [15104/40000] loss: 1.0195, acc: 63.2812%, f1: 0.6112
(204.05s) [15360/40000] loss: 1.0133, acc: 64.8438%, f1: 0.6486
(204.84s) [15616/40000] loss: 1.0035, acc: 63.6719%, f1: 0.6245
(205.65s) [15872/40000] loss: 1.1415, acc: 62.1094%, f1: 0.6063
(206.44s) [16128/40000] loss: 1.0989, acc: 61.7188%, f1: 0.6099
(207.24s) [16384/40000] loss: 1.0304, acc: 62.5%, f1: 0.6128
(208.04s) [16640/40000] loss: 1.2286, acc: 55.4688%, f1: 0.5378
(208.84s) [16896/40000] loss: 1.16, acc: 56.25%, f1: 0.5447
(209.67s) [17152/40000] loss: 0.9688, acc: 67.1875%, f1: 0.6652
(210.5s) [17408/40000] loss: 1.1016, acc: 58.5938%, f1: 0.5779
(211.31s) [17664/40000] loss: 1.1689, acc: 58.5938%, f1: 0.5789
(212.11s) [17920/40000] loss: 1.1231, acc: 59.7656%, f1: 0.5909
(212.91s) [18176/40000] loss: 1.1181, acc: 58.5938%, f1: 0.5817
(213.72s) [18432/40000] loss: 1.0815, acc: 64.0625%, f1: 0.6349
(214.53s) [18688/40000] loss: 1.1698, acc: 59.375%, f1: 0.5926
(215.37s) [18944/40000] loss: 1.1804, acc: 59.375%, f1: 0.5577
